study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB3366	SAMEA1573394	ERX163157	ERR188248	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188248/HG00178.4.M_120208_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188248/HG00178.4.M_120208_8_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188248	HG00178
PRJEB3366	SAMEA1573093	ERX162934	ERR188249	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188249/ERR188249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188249/ERR188249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188249/NA20802.1.M_111124_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188249/NA20802.1.M_111124_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188249	NA20802
PRJEB3366	SAMEA1573389	ERX163091	ERR188250	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188250/ERR188250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188250/ERR188250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188250/HG00272.7.M_120219_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188250/HG00272.7.M_120219_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188250	HG00272
PRJEB3366	SAMEA1573447	ERX162986	ERR188251	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188251/ERR188251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188251/ERR188251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188251/NA20756.2.M_111216_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188251/NA20756.2.M_111216_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188251	NA20756
PRJEB3366	SAMEA1573414	ERX162806	ERR188252	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188252/ERR188252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188252/ERR188252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188252/NA20544.4.M_120208_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188252/NA20544.4.M_120208_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188252	NA20544
PRJEB3366	SAMEA1573171	ERX162790	ERR188253	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188253/ERR188253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188253/ERR188253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188253/NA20808.4.M_120208_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188253/NA20808.4.M_120208_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188253	NA20808
PRJEB3366	SAMEA1573526	ERX163008	ERR188254	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188254/ERR188254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188254/ERR188254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188254/NA20506.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188254/NA20506.1.M_120209_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188254	NA20506
PRJEB3366	SAMEA1573227	ERX163123	ERR188255	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188255/ERR188255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188255/ERR188255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188255/HG00323.1.M_111124_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188255/HG00323.1.M_111124_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188255	HG00323
PRJEB3366	SAMEA1573395	ERX163099	ERR188256	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188256/ERR188256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188256/ERR188256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188256/NA12777.4.M_120208_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188256/NA12777.4.M_120208_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188256	NA12777
PRJEB3366	SAMEA1573136	ERX162717	ERR188257	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188257/ERR188257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188257/ERR188257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188257/HG00143.7.M_120219_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188257/HG00143.7.M_120219_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188257	HG00143
PRJEB3366	SAMEA1573362	ERX163025	ERR188258	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188258/ERR188258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188258/ERR188258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188258/NA20530.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188258/NA20530.2.M_111215_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188258	NA20530
PRJEB3366	SAMEA1573221	ERX162932	ERR188259	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188259/ERR188259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188259/ERR188259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188259/NA20582.4.M_120208_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188259/NA20582.4.M_120208_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188259	NA20582
